"table_group","table_name","commodity_group","commodity","attribute","geography","year","frequency","timeperiod","unit","amount"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1891,"Annual","Marketing year Jun-May","Million acres","3.5900"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1892,"Annual","Marketing year Jun-May","Million acres","3.8570"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1893,"Annual","Marketing year Jun-May","Million acres","3.6890"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1894,"Annual","Marketing year Jun-May","Million acres","3.6390"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1895,"Annual","Marketing year Jun-May","Million acres","4.1850"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1896,"Annual","Marketing year Jun-May","Million acres","4.1310"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1897,"Annual","Marketing year Jun-May","Million acres","4.1200"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1898,"Annual","Marketing year Jun-May","Million acres","4.1130"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1899,"Annual","Marketing year Jun-May","Million acres","4.4720"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1900,"Annual","Marketing year Jun-May","Million acres","4.7030"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1901,"Annual","Marketing year Jun-May","Million acres","4.9630"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1902,"Annual","Marketing year Jun-May","Million acres","5.4740"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1903,"Annual","Marketing year Jun-May","Million acres","6.2310"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1904,"Annual","Marketing year Jun-May","Million acres","6.5790"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1905,"Annual","Marketing year Jun-May","Million acres","6.6580"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1906,"Annual","Marketing year Jun-May","Million acres","6.7440"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1907,"Annual","Marketing year Jun-May","Million acres","6.8540"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1908,"Annual","Marketing year Jun-May","Million acres","7.4090"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1909,"Annual","Marketing year Jun-May","Million acres","7.6970"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1910,"Annual","Marketing year Jun-May","Million acres","7.5460"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1911,"Annual","Marketing year Jun-May","Million acres","7.6130"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1912,"Annual","Marketing year Jun-May","Million acres","7.5420"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1913,"Annual","Marketing year Jun-May","Million acres","7.6730"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1914,"Annual","Marketing year Jun-May","Million acres","7.6530"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1915,"Annual","Marketing year Jun-May","Million acres","7.2790"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1916,"Annual","Marketing year Jun-May","Million acres","7.6230"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1917,"Annual","Marketing year Jun-May","Million acres","8.4530"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1918,"Annual","Marketing year Jun-May","Million acres","9.1980"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1919,"Annual","Marketing year Jun-May","Million acres","6.5790"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1920,"Annual","Marketing year Jun-May","Million acres","7.4390"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1921,"Annual","Marketing year Jun-May","Million acres","7.0740"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1922,"Annual","Marketing year Jun-May","Million acres","6.6010"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1923,"Annual","Marketing year Jun-May","Million acres","7.1510"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1924,"Annual","Marketing year Jun-May","Million acres","7.0380"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1925,"Annual","Marketing year Jun-May","Million acres","8.1860"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1926,"Annual","Marketing year Jun-May","Million acres","7.9170"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1927,"Annual","Marketing year Jun-May","Million acres","9.4650"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1928,"Annual","Marketing year Jun-May","Million acres","12.7350"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1929,"Annual","Marketing year Jun-May","Million acres","13.5640"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1930,"Annual","Marketing year Jun-May","Million acres","12.6290"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1931,"Annual","Marketing year Jun-May","Million acres","11.1810"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1932,"Annual","Marketing year Jun-May","Million acres","13.2060"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1933,"Annual","Marketing year Jun-May","Million acres","9.6410"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1934,"Annual","Marketing year Jun-May","Million acres","6.5770"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1935,"Annual","Marketing year Jun-May","Million acres","12.4360"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1936,"Annual","Marketing year Jun-May","Million acres","8.3290"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1937,"Annual","Marketing year Jun-May","Million acres","9.9690"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1938,"Annual","Marketing year Jun-May","Million acres","10.6100"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1939,"Annual","Marketing year Jun-May","Million acres","12.7390"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1940,"Annual","Marketing year Jun-May","Million acres","13.5250"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1941,"Annual","Marketing year Jun-May","Million acres","14.2760"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1942,"Annual","Marketing year Jun-May","Million acres","16.9580"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1943,"Annual","Marketing year Jun-May","Million acres","14.9000"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1944,"Annual","Marketing year Jun-May","Million acres","12.3010"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1945,"Annual","Marketing year Jun-May","Million acres","10.4540"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1946,"Annual","Marketing year Jun-May","Million acres","10.3800"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1947,"Annual","Marketing year Jun-May","Million acres","10.9550"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1948,"Annual","Marketing year Jun-May","Million acres","11.9050"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1949,"Annual","Marketing year Jun-May","Million acres","9.8720"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1950,"Annual","Marketing year Jun-May","Million acres","11.1550"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1951,"Annual","Marketing year Jun-May","Million acres","9.4240"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1952,"Annual","Marketing year Jun-May","Million acres","8.2360"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1953,"Annual","Marketing year Jun-May","Million acres","8.6800"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1954,"Annual","Marketing year Jun-May","Million acres","13.3700"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1955,"Annual","Marketing year Jun-May","Million acres","14.5230"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1956,"Annual","Marketing year Jun-May","Million acres","12.8520"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1957,"Annual","Marketing year Jun-May","Million acres","14.8720"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1958,"Annual","Marketing year Jun-May","Million acres","14.7910"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1959,"Annual","Marketing year Jun-May","Million acres","14.8690"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1960,"Annual","Marketing year Jun-May","Million acres","13.8560"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1961,"Annual","Marketing year Jun-May","Million acres","12.8060"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1962,"Annual","Marketing year Jun-May","Million acres","12.2140"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1963,"Annual","Marketing year Jun-May","Million acres","11.2360"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1964,"Annual","Marketing year Jun-May","Million acres","10.2770"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1965,"Annual","Marketing year Jun-May","Million acres","9.1660"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1966,"Annual","Marketing year Jun-May","Million acres","10.2500"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1967,"Annual","Marketing year Jun-May","Million acres","9.2300"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1968,"Annual","Marketing year Jun-May","Million acres","9.7320"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1969,"Annual","Marketing year Jun-May","Million acres","9.5570"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1970,"Annual","Marketing year Jun-May","Million acres","9.7120"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1971,"Annual","Marketing year Jun-May","Million acres","10.1040"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1972,"Annual","Marketing year Jun-May","Million acres","9.6450"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1973,"Annual","Marketing year Jun-May","Million acres","10.2950"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1974,"Annual","Marketing year Jun-May","Million acres","7.9300"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1975,"Annual","Marketing year Jun-May","Million acres","8.6170"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1976,"Annual","Marketing year Jun-May","Million acres","8.4390"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1977,"Annual","Marketing year Jun-May","Million acres","9.7280"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1978,"Annual","Marketing year Jun-May","Million acres","9.2480"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1979,"Annual","Marketing year Jun-May","Million acres","7.5270"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1980,"Annual","Marketing year Jun-May","Million acres","7.2600"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1981,"Annual","Marketing year Jun-May","Million acres","9.0380"
"U.S. Acreage, production, yield, and farm price","Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and price received by farmers","Barley","Barley","Area harvested for grain","United States",1982,"Annual","Marketing year Jun-May","Million acres","9.0130"
