date,wheat_crop_good_exc,wheat_crop_change,wheat_crop_deviation,wheat_crop_trend_4w,wheat_crop_critical
2024-12-24,151.0,0.0,,151.0,0
2024-12-25,151.0,0.0,,151.0,0
2024-12-26,151.0,0.0,,151.0,0
2024-12-27,151.0,0.0,,151.0,0
2024-12-28,151.0,0.0,,151.0,0
2024-12-29,151.0,0.0,,151.0,0
2024-12-30,151.0,0.0,,151.0,0
2024-12-31,151.0,0.0,,151.0,0
2025-01-01,151.0,0.0,,151.0,0
2025-01-02,151.0,0.0,,151.0,0
2025-01-03,151.0,0.0,,151.0,0
2025-01-04,151.0,0.0,,151.0,0
2025-01-05,151.0,0.0,,151.0,0
2025-01-06,151.0,0.0,,151.0,0
2025-01-07,151.0,0.0,,151.0,0
2025-01-08,151.0,0.0,,151.0,0
2025-01-09,151.0,0.0,,151.0,0
2025-01-10,151.0,0.0,,151.0,0
2025-01-11,151.0,0.0,,151.0,0
2025-01-12,151.0,0.0,,151.0,0
2025-01-13,151.0,0.0,,151.0,0
2025-01-14,151.0,0.0,,151.0,0
2025-01-15,151.0,0.0,,151.0,0
2025-01-16,151.0,0.0,,151.0,0
2025-01-17,151.0,0.0,,151.0,0
2025-01-18,151.0,0.0,,151.0,0
2025-01-19,151.0,0.0,,151.0,0
2025-01-20,151.0,0.0,,151.0,0
2025-01-21,151.0,0.0,,151.0,0
2025-01-22,151.0,0.0,,151.0,0
2025-01-23,151.0,0.0,,151.0,0
2025-01-24,151.0,0.0,,151.0,0
2025-01-25,151.0,0.0,,151.0,0
2025-01-26,151.0,0.0,,151.0,0
2025-01-27,151.0,0.0,,151.0,0
2025-01-28,151.0,0.0,,151.0,0
2025-01-29,151.0,0.0,,151.0,0
2025-01-30,151.0,0.0,,151.0,0
2025-01-31,151.0,0.0,,151.0,0
2025-02-01,151.0,0.0,,151.0,0
2025-02-02,151.0,0.0,,151.0,0
2025-02-03,151.0,0.0,,151.0,0
2025-02-04,151.0,0.0,,151.0,0
2025-02-05,151.0,0.0,,151.0,0
2025-02-06,151.0,0.0,,151.0,0
2025-02-07,151.0,0.0,,151.0,0
2025-02-08,151.0,0.0,,151.0,0
2025-02-09,151.0,0.0,,151.0,0
2025-02-10,151.0,0.0,,151.0,0
2025-02-11,151.0,0.0,,151.0,0
2025-02-12,151.0,0.0,,151.0,0
2025-02-13,151.0,0.0,,151.0,0
2025-02-14,151.0,0.0,,151.0,0
2025-02-15,151.0,0.0,,151.0,0
2025-02-16,151.0,0.0,,151.0,0
2025-02-17,151.0,0.0,,151.0,0
2025-02-18,151.0,0.0,,151.0,0
2025-02-19,151.0,0.0,,151.0,0
2025-02-20,151.0,0.0,,151.0,0
2025-02-21,151.0,0.0,,151.0,0
2025-02-22,151.0,0.0,,151.0,0
2025-02-23,151.0,0.0,,151.0,0
2025-02-24,151.0,0.0,,151.0,0
2025-02-25,151.0,0.0,,151.0,0
2025-02-26,151.0,0.0,,151.0,0
2025-02-27,151.0,0.0,,151.0,0
2025-02-28,151.0,0.0,,151.0,0
2025-03-01,151.0,0.0,,151.0,0
2025-03-02,151.0,0.0,,151.0,0
2025-03-03,151.0,0.0,,151.0,0
2025-03-04,151.0,0.0,,151.0,0
2025-03-05,151.0,0.0,,151.0,0
2025-03-06,151.0,0.0,,151.0,0
2025-03-07,151.0,0.0,,151.0,0
2025-03-08,151.0,0.0,,151.0,0
2025-03-09,151.0,0.0,,151.0,0
2025-03-10,151.0,0.0,,151.0,0
2025-03-11,151.0,0.0,,151.0,0
2025-03-12,151.0,0.0,,151.0,0
2025-03-13,151.0,0.0,,151.0,0
2025-03-14,151.0,0.0,,151.0,0
2025-03-15,151.0,0.0,,151.0,0
2025-03-16,151.0,0.0,,151.0,0
2025-03-17,151.0,0.0,,151.0,0
2025-03-18,151.0,0.0,,151.0,0
2025-03-19,151.0,0.0,,151.0,0
2025-03-20,151.0,0.0,,151.0,0
2025-03-21,151.0,0.0,,151.0,0
2025-03-22,151.0,0.0,,151.0,0
2025-03-23,151.0,0.0,,151.0,0
2025-03-24,151.0,0.0,,151.0,0
2025-03-25,151.0,0.0,,151.0,0
2025-03-26,151.0,0.0,,151.0,0
2025-03-27,151.0,0.0,,151.0,0
2025-03-28,151.0,0.0,,151.0,0
2025-03-29,151.0,0.0,,151.0,0
2025-03-30,151.0,0.0,,151.0,0
2025-03-31,151.0,0.0,,151.0,0
2025-04-01,151.0,0.0,,151.0,0
2025-04-02,151.0,0.0,,151.0,0
2025-04-03,151.0,0.0,,151.0,0
2025-04-04,151.0,0.0,,151.0,0
2025-04-05,151.0,0.0,,151.0,0
2025-04-06,150.0,-1.0,,150.96428571428572,0
2025-04-07,150.0,-1.0,,150.92857142857142,0
2025-04-08,150.0,-1.0,,150.89285714285714,0
2025-04-09,150.0,-1.0,,150.85714285714286,0
2025-04-10,150.0,-1.0,,150.82142857142858,0
2025-04-11,150.0,-1.0,,150.78571428571428,0
2025-04-12,150.0,-1.0,,150.75,0
2025-04-13,147.0,-3.0,,150.60714285714286,0
2025-04-14,147.0,-3.0,,150.46428571428572,0
2025-04-15,147.0,-3.0,,150.32142857142858,0
2025-04-16,147.0,-3.0,,150.17857142857142,0
2025-04-17,147.0,-3.0,,150.03571428571428,0
2025-04-18,147.0,-3.0,,149.89285714285714,0
2025-04-19,147.0,-3.0,,149.75,0
2025-04-20,136.0,-11.0,,149.21428571428572,0
2025-04-21,136.0,-11.0,,148.67857142857142,0
2025-04-22,136.0,-11.0,,148.14285714285714,0
2025-04-23,136.0,-11.0,,147.60714285714286,0
2025-04-24,136.0,-11.0,,147.07142857142858,0
2025-04-25,136.0,-11.0,,146.53571428571428,0
2025-04-26,136.0,-11.0,,146.0,0
2025-04-27,139.0,3.0,,145.57142857142858,0
2025-04-28,139.0,3.0,,145.14285714285714,0
2025-04-29,139.0,3.0,,144.71428571428572,0
2025-04-30,139.0,3.0,,144.28571428571428,0
2025-05-01,139.0,3.0,,143.85714285714286,0
2025-05-02,139.0,3.0,,143.42857142857142,0
2025-05-03,139.0,3.0,,143.0,0
2025-05-04,143.0,4.0,,142.75,0
2025-05-05,143.0,4.0,,142.5,0
2025-05-06,143.0,4.0,,142.25,0
2025-05-07,143.0,4.0,,142.0,0
2025-05-08,143.0,4.0,,141.75,0
2025-05-09,143.0,4.0,,141.5,0
2025-05-10,143.0,4.0,,141.25,0
2025-05-11,145.0,2.0,,141.17857142857142,0
2025-05-12,145.0,2.0,,141.10714285714286,0
2025-05-13,145.0,2.0,,141.03571428571428,0
2025-05-14,145.0,2.0,,140.96428571428572,0
2025-05-15,145.0,2.0,,140.89285714285714,0
2025-05-16,145.0,2.0,,140.82142857142858,0
2025-05-17,145.0,2.0,,140.75,0
2025-05-18,142.0,-3.0,,140.96428571428572,0
2025-05-19,142.0,-3.0,,141.17857142857142,0
2025-05-20,142.0,-3.0,,141.39285714285714,0
2025-05-21,142.0,-3.0,,141.60714285714286,0
2025-05-22,142.0,-3.0,,141.82142857142858,0
2025-05-23,142.0,-3.0,,142.03571428571428,0
2025-05-24,142.0,-3.0,,142.25,0
2025-05-25,185.0,43.0,,143.89285714285714,0
2025-05-26,185.0,43.0,,145.53571428571428,0
2025-05-27,185.0,43.0,,147.17857142857142,0
2025-05-28,185.0,43.0,,148.82142857142858,0
2025-05-29,185.0,43.0,,150.46428571428572,0
2025-05-30,185.0,43.0,,152.10714285714286,0
2025-05-31,185.0,43.0,,153.75,0
2025-06-01,268.0,83.0,,158.21428571428572,0
2025-06-02,268.0,83.0,,162.67857142857142,0
2025-06-03,268.0,83.0,,167.14285714285714,0
2025-06-04,268.0,83.0,,171.60714285714286,0
2025-06-05,268.0,83.0,,176.07142857142858,0
2025-06-06,268.0,83.0,,180.53571428571428,0
2025-06-07,268.0,83.0,,185.0,0
2025-06-08,330.0,62.0,,191.60714285714286,0
2025-06-09,330.0,62.0,,198.21428571428572,0
2025-06-10,330.0,62.0,,204.82142857142858,0
2025-06-11,330.0,62.0,,211.42857142857142,0
2025-06-12,330.0,62.0,,218.03571428571428,0
2025-06-13,330.0,62.0,,224.64285714285714,0
2025-06-14,330.0,62.0,,231.25,0
2025-06-15,334.0,4.0,,238.10714285714286,0
2025-06-16,334.0,4.0,,244.96428571428572,0
2025-06-17,334.0,4.0,,251.82142857142858,0
2025-06-18,334.0,4.0,,258.67857142857144,0
2025-06-19,334.0,4.0,,265.5357142857143,0
2025-06-20,334.0,4.0,,272.39285714285717,0
2025-06-21,334.0,4.0,,279.25,0
2025-06-22,325.0,-9.0,,284.25,0
2025-06-23,325.0,-9.0,,289.25,0
2025-06-24,325.0,-9.0,,294.25,0
2025-06-25,325.0,-9.0,,299.25,0
2025-06-26,325.0,-9.0,,304.25,0
2025-06-27,325.0,-9.0,,309.25,0
2025-06-28,325.0,-9.0,,314.25,0
2025-06-29,322.0,-3.0,,316.17857142857144,0
2025-06-30,322.0,-3.0,,318.10714285714283,0
2025-07-01,322.0,-3.0,,320.0357142857143,0
2025-07-02,322.0,-3.0,,321.9642857142857,0
2025-07-03,322.0,-3.0,,323.89285714285717,0
2025-07-04,322.0,-3.0,,325.82142857142856,0
2025-07-05,322.0,-3.0,,327.75,0
2025-07-06,323.0,1.0,,327.5,0
2025-07-07,323.0,1.0,,327.25,0
2025-07-08,323.0,1.0,,327.0,0
2025-07-09,323.0,1.0,,326.75,0
2025-07-10,323.0,1.0,,326.5,0
2025-07-11,323.0,1.0,,326.25,0
2025-07-12,323.0,1.0,,326.0,0
2025-07-13,186.0,-137.0,,320.7142857142857,0
2025-07-14,186.0,-137.0,,315.42857142857144,0
2025-07-15,186.0,-137.0,,310.14285714285717,0
2025-07-16,186.0,-137.0,,304.85714285714283,0
2025-07-17,186.0,-137.0,,299.57142857142856,0
2025-07-18,186.0,-137.0,,294.2857142857143,0
2025-07-19,186.0,-137.0,,289.0,0
2025-07-20,184.0,-2.0,,283.9642857142857,0
2025-07-21,184.0,-2.0,,278.92857142857144,0
2025-07-22,184.0,-2.0,,273.89285714285717,0
2025-07-23,184.0,-2.0,,268.85714285714283,0
2025-07-24,184.0,-2.0,,263.82142857142856,0
2025-07-25,184.0,-2.0,,258.7857142857143,0
2025-07-26,184.0,-2.0,,253.75,0
2025-07-27,177.0,-7.0,,248.57142857142858,0
2025-07-28,177.0,-7.0,,243.39285714285714,0
2025-07-29,177.0,-7.0,,238.21428571428572,0
2025-07-30,177.0,-7.0,,233.03571428571428,0
2025-07-31,177.0,-7.0,,227.85714285714286,0
2025-08-01,177.0,-7.0,,222.67857142857142,0
2025-08-02,177.0,-7.0,,217.5,0
2025-08-03,174.0,-3.0,,212.17857142857142,0
2025-08-04,174.0,-3.0,,206.85714285714286,0
2025-08-05,174.0,-3.0,,201.53571428571428,0
2025-08-06,174.0,-3.0,,196.21428571428572,0
2025-08-07,174.0,-3.0,,190.89285714285714,0
2025-08-08,174.0,-3.0,,185.57142857142858,0
2025-08-09,174.0,-3.0,,180.25,0
2025-08-10,173.0,-1.0,,179.78571428571428,0
2025-08-11,173.0,-1.0,,179.32142857142858,0
2025-08-12,173.0,-1.0,,178.85714285714286,0
2025-08-13,173.0,-1.0,,178.39285714285714,0
2025-08-14,173.0,-1.0,,177.92857142857142,0
2025-08-15,173.0,-1.0,,177.46428571428572,0
2025-08-16,173.0,-1.0,,177.0,0
2025-08-17,174.0,1.0,,176.64285714285714,0
2025-08-18,174.0,1.0,,176.28571428571428,0
2025-08-19,174.0,1.0,,175.92857142857142,0
2025-08-20,174.0,1.0,,175.57142857142858,0
2025-08-21,174.0,1.0,,175.21428571428572,0
2025-08-22,174.0,1.0,,174.85714285714286,0
2025-08-23,174.0,1.0,,174.5,0
2025-08-24,118.0,-56.0,,172.39285714285714,0
