"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"December 1","2002/03","September-August","Soybeans","Off-farm storage","Off-farm storage","943373","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2002/03","September-August","Soybeans","Total storage","Total storage","2115373","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2002/03","September-August","Soybeans","On-farm storage","On-farm storage","636500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2002/03","September-August","Soybeans","Off-farm storage","Off-farm storage","565528","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2002/03","September-August","Soybeans","Total storage","Total storage","1202028","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2002/03","September-August","Soybeans","On-farm storage","On-farm storage","272500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2002/03","September-August","Soybeans","Off-farm storage","Off-farm storage","329862","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2002/03","September-August","Soybeans","Total storage","Total storage","602362","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2002/03","September-August","Soybeans","On-farm storage","On-farm storage","58000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2002/03","September-August","Soybeans","Off-farm storage","Off-farm storage","120329","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2002/03","September-August","Soybeans","Total storage","Total storage","178329","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2003/04","September-August","Soybeans","On-farm storage","On-farm storage","820000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2003/04","September-August","Soybeans","Off-farm storage","Off-farm storage","868653","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2003/04","September-August","Soybeans","Total storage","Total storage","1688653","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2003/04","September-August","Soybeans","On-farm storage","On-farm storage","355900","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2003/04","September-August","Soybeans","Off-farm storage","Off-farm storage","549947","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2003/04","September-August","Soybeans","Total storage","Total storage","905847","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2003/04","September-August","Soybeans","On-farm storage","On-farm storage","110000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2003/04","September-August","Soybeans","Off-farm storage","Off-farm storage","300604","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2003/04","September-August","Soybeans","Total storage","Total storage","410604","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2003/04","September-August","Soybeans","On-farm storage","On-farm storage","29400","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2003/04","September-August","Soybeans","Off-farm storage","Off-farm storage","83014","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2003/04","September-August","Soybeans","Total storage","Total storage","112414","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2004/05","September-August","Soybeans","On-farm storage","On-farm storage","1300000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2004/05","September-August","Soybeans","Off-farm storage","Off-farm storage","1004640","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2004/05","September-August","Soybeans","Total storage","Total storage","2304640","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2004/05","September-August","Soybeans","On-farm storage","On-farm storage","795000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2004/05","September-August","Soybeans","Off-farm storage","Off-farm storage","586364","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2004/05","September-August","Soybeans","Total storage","Total storage","1381364","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2004/05","September-August","Soybeans","On-farm storage","On-farm storage","356100","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2004/05","September-August","Soybeans","Off-farm storage","Off-farm storage","343174","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2004/05","September-August","Soybeans","Total storage","Total storage","699274","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2004/05","September-August","Soybeans","On-farm storage","On-farm storage","99700","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2004/05","September-August","Soybeans","Off-farm storage","Off-farm storage","156038","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2004/05","September-August","Soybeans","Total storage","Total storage","255738","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2005/06","September-August","Soybeans","On-farm storage","On-farm storage","1345000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2005/06","September-August","Soybeans","Off-farm storage","Off-farm storage","1156426","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2005/06","September-August","Soybeans","Total storage","Total storage","2501426","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2005/06","September-August","Soybeans","On-farm storage","On-farm storage","872000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2005/06","September-August","Soybeans","Off-farm storage","Off-farm storage","797206","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2005/06","September-August","Soybeans","Total storage","Total storage","1669206","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2005/06","September-August","Soybeans","On-farm storage","On-farm storage","495500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2005/06","September-August","Soybeans","Off-farm storage","Off-farm storage","495199","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2005/06","September-August","Soybeans","Total storage","Total storage","990699","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2005/06","September-August","Soybeans","On-farm storage","On-farm storage","176300","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2005/06","September-August","Soybeans","Off-farm storage","Off-farm storage","273026","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2005/06","September-August","Soybeans","Total storage","Total storage","449326","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2006/07","September-August","Soybeans","On-farm storage","On-farm storage","1461000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2006/07","September-August","Soybeans","Off-farm storage","Off-farm storage","1240366","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2006/07","September-August","Soybeans","Total storage","Total storage","2701366","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2006/07","September-August","Soybeans","On-farm storage","On-farm storage","910000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2006/07","September-August","Soybeans","Off-farm storage","Off-farm storage","876887","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2006/07","September-August","Soybeans","Total storage","Total storage","1786887","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2006/07","September-August","Soybeans","On-farm storage","On-farm storage","500000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2006/07","September-August","Soybeans","Off-farm storage","Off-farm storage","592185","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2006/07","September-August","Soybeans","Total storage","Total storage","1092185","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2006/07","September-August","Soybeans","On-farm storage","On-farm storage","143000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2006/07","September-August","Soybeans","Off-farm storage","Off-farm storage","430810","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2006/07","September-August","Soybeans","Total storage","Total storage","573810","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2007/08","September-August","Soybeans","On-farm storage","On-farm storage","1128500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2007/08","September-August","Soybeans","Off-farm storage","Off-farm storage","1231860","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2007/08","September-August","Soybeans","Total storage","Total storage","2360360","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2007/08","September-August","Soybeans","On-farm storage","On-farm storage","593000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2007/08","September-August","Soybeans","Off-farm storage","Off-farm storage","840982","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2007/08","September-August","Soybeans","Total storage","Total storage","1433982","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2007/08","September-August","Soybeans","On-farm storage","On-farm storage","226600","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2007/08","September-August","Soybeans","Off-farm storage","Off-farm storage","449543","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2007/08","September-August","Soybeans","Total storage","Total storage","676143","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2007/08","September-August","Soybeans","On-farm storage","On-farm storage","47000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2007/08","September-August","Soybeans","Off-farm storage","Off-farm storage","158034","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2007/08","September-August","Soybeans","Total storage","Total storage","205034","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2008/09","September-August","Soybeans","On-farm storage","On-farm storage","1189000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2008/09","September-August","Soybeans","Off-farm storage","Off-farm storage","1086432","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2008/09","September-August","Soybeans","Total storage","Total storage","2275432","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2008/09","September-August","Soybeans","On-farm storage","On-farm storage","656500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2008/09","September-August","Soybeans","Off-farm storage","Off-farm storage","645289","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2008/09","September-August","Soybeans","Total storage","Total storage","1301789","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2008/09","September-August","Soybeans","On-farm storage","On-farm storage","226300","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2008/09","September-August","Soybeans","Off-farm storage","Off-farm storage","369859","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2008/09","September-August","Soybeans","Total storage","Total storage","596159","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2008/09","September-August","Soybeans","On-farm storage","On-farm storage","35100","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2008/09","September-August","Soybeans","Off-farm storage","Off-farm storage","103098","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2008/09","September-August","Soybeans","Total storage","Total storage","138198","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2009/10","September-August","Soybeans","On-farm storage","On-farm storage","1229500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2009/10","September-August","Soybeans","Off-farm storage","Off-farm storage","1109050","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2009/10","September-August","Soybeans","Total storage","Total storage","2338550","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2009/10","September-August","Soybeans","On-farm storage","On-farm storage","609200","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2009/10","September-August","Soybeans","Off-farm storage","Off-farm storage","660868","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2009/10","September-August","Soybeans","Total storage","Total storage","1270068","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2009/10","September-August","Soybeans","On-farm storage","On-farm storage","232600","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2009/10","September-August","Soybeans","Off-farm storage","Off-farm storage","338523","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2009/10","September-August","Soybeans","Total storage","Total storage","571123","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2009/10","September-August","Soybeans","On-farm storage","On-farm storage","35400","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2009/10","September-August","Soybeans","Off-farm storage","Off-farm storage","115485","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2009/10","September-August","Soybeans","Total storage","Total storage","150885","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2010/11","September-August","Soybeans","On-farm storage","On-farm storage","1091000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2010/11","September-August","Soybeans","Off-farm storage","Off-farm storage","1187084","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2010/11","September-August","Soybeans","Total storage","Total storage","2278084","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2010/11","September-August","Soybeans","On-farm storage","On-farm storage","505000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2010/11","September-August","Soybeans","Off-farm storage","Off-farm storage","743800","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"March 1","2010/11","September-August","Soybeans","Total storage","Total storage","1248800","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2010/11","September-August","Soybeans","On-farm storage","On-farm storage","217700","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2010/11","September-August","Soybeans","Off-farm storage","Off-farm storage","401583","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"June 1","2010/11","September-August","Soybeans","Total storage","Total storage","619283","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2010/11","September-August","Soybeans","On-farm storage","On-farm storage","48500","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2010/11","September-August","Soybeans","Off-farm storage","Off-farm storage","166513","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"September 1","2010/11","September-August","Soybeans","Total storage","Total storage","215013","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2011/12","September-August","Soybeans","On-farm storage","On-farm storage","1139000","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
"December 1","2011/12","September-August","Soybeans","Off-farm storage","Off-farm storage","1230885","Thousand bushels","1","Table 1—Soybean stocks: U.S. onfarm, off-farm, and total, by quarter, 1999/2000–2024/25"
