,Brent_Crude,Cocoa,Coffee,Copper,Corn,Cotton,Crude_Oil,Feeder_Cattle,Gold,Heating_Oil,Lean_Hogs,Live_Cattle,Lumber,Natural_Gas,Oat,Palladium,Platinum,RBOB_Gasoline,Silver,Soybeans,Sugar,Wheat,DXY,Energy_Index,SP500,Treasury_10Y,VIX
Platinum,0.6601183153536118,0.19524527066642236,0.4929152154512928,0.6359045161989495,0.6271880989078107,0.5388555316116435,0.7788432779016189,0.14000861775346193,0.34448426567042484,0.6677088809821434,0.49644056142901016,0.19450727220317957,-0.08061834542959825,0.08299890274603845,0.4059837350324331,-0.0025024902856250397,1.0,0.716746891524457,0.6607585743016724,0.6274730828930895,0.6345854738857202,0.6242687430265689,-0.8146675150171286,0.5605535304867757,-0.06851307470338575,-0.36207137864197597,-0.15071966676896464
RBOB_Gasoline,0.9498782995022815,0.2743510857786446,0.5893253502921943,0.7905209945695015,0.7975102587416232,0.642584320002307,0.9592213045410561,0.3899105758560864,0.5030864943134552,0.9579824579937709,0.7163623963296907,0.45488084706317616,0.17484953075373957,0.10979165329449508,0.7062386161406168,0.25867792560940367,0.716746891524457,1.0,0.6826811011657481,0.8121101519187862,0.648853123525756,0.7682734203237073,-0.4700413107718542,0.7831626855158061,0.2613853369197232,-0.19747135293657586,-0.21104245401120547
Silver,0.42094138725242414,0.5966999275020768,0.8413219351701586,0.8635899274376682,0.7681114907023086,0.6314817874161088,0.6220121653800627,0.6435014625840787,0.8834313528393616,0.6835376212562623,0.6328713574341241,0.6930140164300003,0.28139731207177016,-0.3425517759712003,0.6325656234767844,0.43893829091832104,0.6607585743016724,0.6826811011657481,1.0,0.7417218212572436,0.7737211075245051,0.6366317847987921,-0.26671842331211243,0.6896944680017352,0.5715281299257615,-0.4329174482659756,-0.108422768473567
Soybeans,0.7195837636472927,0.2731111860435537,0.5699947029581967,0.750961888557395,0.9203116349320641,0.6844020546988401,0.7660687106154981,0.4047921114397445,0.6255935935759749,0.8217545402253257,0.6715867656069684,0.5060720573492025,0.36904147253256525,-0.15376002399141206,0.7802853405244145,0.4802927012078057,0.6274730828930895,0.8121101519187862,0.7417218212572436,1.0,0.6835405323729569,0.8661261479267724,-0.35317279948683766,0.6766520000951814,0.3824118448990401,-0.5034387025135745,-0.048360148161554976
Sugar,0.3991085235353621,0.4107766533205618,0.6810069914602961,0.7190764808412219,0.6799385662124028,0.6802479811444371,0.6168136746435118,0.41875762711397707,0.624472232755593,0.6518542961231281,0.49207827592082315,0.4946579526062419,0.10215243584719157,-0.25987450935975703,0.5577852985441609,0.28138062479614206,0.6345854738857202,0.648853123525756,0.7737211075245051,0.6835405323729569,1.0,0.539766448281475,-0.2838372207580307,0.6333104263300782,0.34966301493291563,-0.3492488198692387,-0.1114405164035536
Wheat,0.6516164305484224,0.21651517012089472,0.5248256711400425,0.7343969977456094,0.877021371563373,0.6352032186869068,0.769975309243222,0.2597023528907343,0.5083760917855386,0.8040996296953133,0.5111581171893192,0.3525282536162379,0.308067357051838,0.04389588657597123,0.8051385125202075,0.4768501639043164,0.6242687430265689,0.7682734203237073,0.6366317847987921,0.8661261479267724,0.539766448281475,1.0,-0.3946636252730604,0.6082469435089947,0.30132011697986133,-0.3934069715285999,0.09457749758074528
DXY,-0.4946161369401402,0.08821452527035102,-0.1400393485424152,-0.3223960819112898,-0.3252644036885887,-0.27735860891347786,-0.5808969676697223,0.23808570858960354,0.04003337825457269,-0.4102677568639004,-0.21707745908656223,0.20122394603245602,0.13660166787645964,-0.3065358875892798,-0.12472631439903295,0.2128836893592299,-0.8146675150171286,-0.4700413107718542,-0.26671842331211243,-0.35317279948683766,-0.2838372207580307,-0.3946636252730604,1.0,-0.26045353648006203,0.3697899077415786,0.3012808564518714,0.08307104179679398
Energy_Index,0.5298588195852375,0.5858070664390632,0.6947910917282452,0.7901787679120588,0.6026097463398081,0.46229721709698046,0.7506566937358922,0.729825051175187,0.679287957879829,0.8164199583556034,0.6250684261330245,0.7718788284866955,0.07310061232527625,-0.11768528253469578,0.6007199419841581,0.24238838995436288,0.5605535304867757,0.7831626855158061,0.6896944680017352,0.6766520000951814,0.6333104263300782,0.6082469435089947,-0.26045353648006203,1.0,0.5300369159226196,-0.24922536154169966,-0.3365442691234964
SP500,-0.18035103002539912,0.7157199604830182,0.6452043682163955,0.6262482156166038,0.318566903892358,0.26372821846534644,0.16500670227718134,0.808952554509902,0.8465460950302008,0.3234959077825947,0.4307712846413015,0.8171364398295244,0.7507227759116223,-0.3424631427528129,0.5554135012744266,0.684893507576085,-0.06851307470338575,0.2613853369197232,0.5715281299257615,0.3824118448990401,0.34966301493291563,0.30132011697986133,0.3697899077415786,0.5300369159226196,1.0,-0.18032092870377314,-0.16268793507862325
Treasury_10Y,0.29209092734468867,-0.03482207586974724,-0.17841151867636293,-0.3012937861263655,-0.4538560019303955,-0.3313006510388428,-0.16509235611177994,-0.11746332190281925,-0.39230948583419545,-0.212621137904918,-0.24276380878177675,-0.1577534654103326,-0.3770734190886501,0.4597096323222721,-0.40845461299149916,-0.49487236349265384,-0.36207137864197597,-0.19747135293657586,-0.4329174482659756,-0.5034387025135745,-0.3492488198692387,-0.3934069715285999,0.3012808564518714,-0.24922536154169966,-0.18032092870377314,1.0,-0.01715001150368637
VIX,-0.13415947892234198,-0.07891667812447284,-0.07002621399121818,-0.19808623524252547,0.03369210951589118,-0.10461303482403486,-0.15928356414851583,-0.24964492641912964,-0.0738628411247011,-0.14307833836197525,-0.2334760708117612,-0.2412415818549448,-0.08752787483159896,0.013314986416171492,-0.019926542446184362,0.025397250789424213,-0.15071966676896464,-0.21104245401120547,-0.108422768473567,-0.048360148161554976,-0.1114405164035536,0.09457749758074528,0.08307104179679398,-0.3365442691234964,-0.16268793507862325,-0.01715001150368637,1.0
